user,team,week,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,WO Q,QS Q,hardsh!t,ao_list
Hot Pants,Comet,5,,,,,,,,,,,,,
Hot Pants,Comet,6,,,,,,,,,,,,,
Jugs,Comet,0,,,,,,,,,,,,,
Jugs,Comet,1,,6,,,,,,,,,,,el-coyote
Jugs,Comet,2,,,,,,,,,,,,,
Jugs,Comet,3,,,,,,,,,,,,,
Jugs,Comet,4,,,,,,,,,,,,,
Jugs,Comet,5,,,,,,,,,,,,,
Jugs,Comet,6,,,,,,,,,,,,,
Mahomes,Comet,0,3,6,,,5,3,,5,,,,,the-colosseum
Mahomes,Comet,1,15,30,,8,,3,5,5,3,1,1,10,"el-coyote, the-colosseum, the-olympiad, the-silo"
Mahomes,Comet,2,,,,,,,,,,,,,
Mahomes,Comet,3,,,,,,,,,,,,,
Mahomes,Comet,4,,,,,,,,,,,,,
Mahomes,Comet,5,,,,,,,,,,,,,
Mahomes,Comet,6,,,,,,,,,,,,,
Manhole,Comet,0,3,6,,,5,3,,5,,,,,the-colosseum
Manhole,Comet,1,12,30,5,8,,,5,5,3,1,,10,"black-rock, dmz, el-coyote, the-colosseum, the-olympiad"
Manhole,Comet,2,,,,,,,,,,,,,
Manhole,Comet,3,,,,,,,,,,,,,
Manhole,Comet,4,,,,,,,,,,,,,
Manhole,Comet,5,,,,,,,,,,,,,
Manhole,Comet,6,,,,,,,,,,,,,
Meta,Comet,0,3,6,,,5,3,,5,,,,,the-colosseum
Meta,Comet,1,12,30,,8,,,5,5,3,1,,10,"el-coyote, the-olympiad, the-ridge, the-silo"
Meta,Comet,2,,,,,,,,,,,,,
Meta,Comet,3,,,,,,,,,,,,,
Meta,Comet,4,,,,,,,,,,,,,
Meta,Comet,5,,,,,,,,,,,,,
Meta,Comet,6,,,,,,,,,,,,,
Pearl,Comet,0,3,6,,,5,,,5,,,,,the-colosseum
Pearl,Comet,1,6,12,,,,,5,5,3,,,,"the-colosseum, the-grove, the-ridge, the-silo"
Pearl,Comet,2,,,,,,,,,,,,,
Pearl,Comet,3,,,,,,,,,,,,,
Pearl,Comet,4,,,,,,,,,,,,,
Pearl,Comet,5,,,,,,,,,,,,,
Pearl,Comet,6,,,,,,,,,,,,,
Peterbilt,Comet,0,,6,,,,3,,5,,,,,the-colosseum
Peterbilt,Comet,1,2,21,5,5,,3,5,,3,1,,,"el-coyote, the-colosseum, the-olympiad, the-ridge, the-silo"
Peterbilt,Comet,2,,,,,,,,,,,,,
Peterbilt,Comet,3,,,,,,,,,,,,,
Peterbilt,Comet,4,,,,,,,,,,,,,
Peterbilt,Comet,5,,,,,,,,,,,,,
Peterbilt,Comet,6,,,,,,,,,,,,,
Pull-up,Comet,0,,6,,,,3,,5,,,,,the-colosseum
Pull-up,Comet,1,15,15,5,,,3,5,5,3,,,,"the-colosseum, the-grove, the-olympiad, the-ridge, the-silo"
Pull-up,Comet,2,,,,,,,,,,,,,
Pull-up,Comet,3,,,,,,,,,,,,,
Pull-up,Comet,4,,,,,,,,,,,,,
Pull-up,Comet,5,,,,,,,,,,,,,
Pull-up,Comet,6,,,,,,,,,,,,,
Second Best,Comet,0,,3,,,,,,5,,,,,the-colosseum
Second Best,Comet,1,,6,,,,,,,3,,,,"the-grove, the-ridge"
Second Best,Comet,2,,,,,,,,,,,,,
Second Best,Comet,3,,,,,,,,,,,,,
Second Best,Comet,4,,,,,,,,,,,,,
Second Best,Comet,5,,,,,,,,,,,,,
Second Best,Comet,6,,,,,,,,,,,,,
Shankapotomus,Comet,0,,3,,,,,,5,,,,,the-colosseum
Shankapotomus,Comet,1,,15,5,,,,5,,3,,,,"black-rock, el-coyote, the-colosseum, the-olympiad, the-ridge"
Shankapotomus,Comet,2,,,,,,,,,,,,,
Shankapotomus,Comet,3,,,,,,,,,,,,,
Shankapotomus,Comet,4,,,,,,,,,,,,,
Shankapotomus,Comet,5,,,,,,,,,,,,,
Shankapotomus,Comet,6,,,,,,,,,,,,,
Six Sheets,Comet,0,3,6,,,,,,5,,,,,the-colosseum
Six Sheets,Comet,1,12,15,,,,,,,3,,,,"black-rock, the-olympiad, the-ridge, the-silo"
Six Sheets,Comet,2,,,,,,,,,,,,,
Six Sheets,Comet,3,,,,,,,,,,,,,
Six Sheets,Comet,4,,,,,,,,,,,,,
Six Sheets,Comet,5,,,,,,,,,,,,,
Six Sheets,Comet,6,,,,,,,,,,,,,
Tighty Whities,Comet,0,,3,,,,,,5,,,,,the-colosseum
Tighty Whities,Comet,1,3,12,,,,,5,5,,,,,"the-colosseum, the-grove, the-olympiad, the-silo"
Tighty Whities,Comet,2,,,,,,,,,,,,,
Tighty Whities,Comet,3,,,,,,,,,,,,,
Tighty Whities,Comet,4,,,,,,,,,,,,,
Tighty Whities,Comet,5,,,,,,,,,,,,,
Tighty Whities,Comet,6,,,,,,,,,,,,,
Toby,Comet,0,,3,,,,,,5,,,,,the-colosseum
Toby,Comet,1,,,,,,,,,3,,,,
Toby,Comet,2,,,,,,,,,,,,,
Toby,Comet,3,,,,,,,,,,,,,
Toby,Comet,4,,,,,,,,,,,,,
Toby,Comet,5,,,,,,,,,,,,,
Toby,Comet,6,,,,,,,,,,,,,
Wing Stop (F3 Naperville),Comet,0,,3,,,,3,,5,,,,,the-colosseum
Wing Stop (F3 Naperville),Comet,1,,12,,,,3,,,3,,,,the-colosseum
Wing Stop (F3 Naperville),Comet,2,,,,,,,,,,,,,
Wing Stop (F3 Naperville),Comet,3,,,,,,,,,,,,,
Wing Stop (F3 Naperville),Comet,4,,,,,,,,,,,,,
Wing Stop (F3 Naperville),Comet,5,,,,,,,,,,,,,
Wing Stop (F3 Naperville),Comet,6,,,,,,,,,,,,,
Bunker,Cupid,0,,,,,,3,,,,,,,
Bunker,Cupid,1,8,12,,,,3,,,3,1,,,"the-colosseum, the-grove"
Bunker,Cupid,2,,,,,,,,,,,,,
Bunker,Cupid,3,,,,,,,,,,,,,
Bunker,Cupid,4,,,,,,,,,,,,,
Bunker,Cupid,5,,,,,,,,,,,,,
Bunker,Cupid,6,,,,,,,,,,,,,
Caboose,Cupid,0,,6,,,,3,,5,,,,,the-colosseum
Caboose,Cupid,1,,3,,,,,,5,3,,,,the-grove
Caboose,Cupid,2,,,,,,,,,,,,,
Caboose,Cupid,3,,,,,,,,,,,,,
Caboose,Cupid,4,,,,,,,,,,,,,
Caboose,Cupid,5,,,,,,,,,,,,,
Caboose,Cupid,6,,,,,,,,,,,,,
Candy Man,Cupid,0,,3,,,,,,5,,,,,the-colosseum
Candy Man,Cupid,1,2,6,,,,,,,,,,,the-colosseum
Candy Man,Cupid,2,,,,,,,,,,,,,
Candy Man,Cupid,3,,,,,,,,,,,,,
Candy Man,Cupid,4,,,,,,,,,,,,,
Candy Man,Cupid,5,,,,,,,,,,,,,
Candy Man,Cupid,6,,,,,,,,,,,,,
Chernobyl,Cupid,0,,3,,,,,,,,,,,the-colosseum
Chernobyl,Cupid,1,,3,,,,,,,,,,,
Chernobyl,Cupid,2,,,,,,,,,,,,,
Chernobyl,Cupid,3,,,,,,,,,,,,,
Chernobyl,Cupid,4,,,,,,,,,,,,,
Chernobyl,Cupid,5,,,,,,,,,,,,,
Chernobyl,Cupid,6,,,,,,,,,,,,,
Double dipper,Cupid,0,,3,,,,,,5,,,,,the-colosseum
Double dipper,Cupid,1,,,,,,,,,,,,,
Double dipper,Cupid,2,,,,,,,,,,,,,
Double dipper,Cupid,3,,,,,,,,,,,,,
Double dipper,Cupid,4,,,,,,,,,,,,,
Double dipper,Cupid,5,,,,,,,,,,,,,
Double dipper,Cupid,6,,,,,,,,,,,,,
Duck Hunt,Cupid,0,3,6,,,,,,5,,,,,the-colosseum
Duck Hunt,Cupid,1,15,19,5,4,,,5,5,3,1,,,"black-diamond, da-grizz, el-coyote, ravens-nest, the-colosseum, the-olympiad"
Duck Hunt,Cupid,2,,,,,,,,,,,,,
Duck Hunt,Cupid,3,,,,,,,,,,,,,
Duck Hunt,Cupid,4,,,,,,,,,,,,,
Duck Hunt,Cupid,5,,,,,,,,,,,,,
Duck Hunt,Cupid,6,,,,,,,,,,,,,
Great Clips,Cupid,0,,,,,,,,,,,,,
Great Clips,Cupid,1,,3,,,5,3,,,,,,,the-olympiad
Great Clips,Cupid,2,,,,,,,,,,,,,
Great Clips,Cupid,3,,,,,,,,,,,,,
Great Clips,Cupid,4,,,,,,,,,,,,,
Great Clips,Cupid,5,,,,,,,,,,,,,
Great Clips,Cupid,6,,,,,,,,,,,,,
GrubX (CMW),Cupid,0,,3,,,,,,5,,,,,the-colosseum
GrubX (CMW),Cupid,1,6,16,,,,,,,3,,,10,"black-diamond, the-colosseum, the-olympiad"
GrubX (CMW),Cupid,2,,,,,,,,,,,,,
GrubX (CMW),Cupid,3,,,,,,,,,,,,,
GrubX (CMW),Cupid,4,,,,,,,,,,,,,
GrubX (CMW),Cupid,5,,,,,,,,,,,,,
GrubX (CMW),Cupid,6,,,,,,,,,,,,,
Laces Out,Cupid,0,,,,,,,,,,,,,
Laces Out,Cupid,1,,,,,,,,,,,,,
Laces Out,Cupid,2,,,,,,,,,,,,,
Laces Out,Cupid,3,,,,,,,,,,,,,
Laces Out,Cupid,4,,,,,,,,,,,,,
Laces Out,Cupid,5,,,,,,,,,,,,,
Laces Out,Cupid,6,,,,,,,,,,,,,
Lot lizard,Cupid,0,,,,,,,,,,,,,
Lot lizard,Cupid,1,,3,,,,,5,,3,,,,el-coyote
Lot lizard,Cupid,2,,,,,,,,,,,,,
Lot lizard,Cupid,3,,,,,,,,,,,,,
Lot lizard,Cupid,4,,,,,,,,,,,,,
Lot lizard,Cupid,5,,,,,,,,,,,,,
Lot lizard,Cupid,6,,,,,,,,,,,,,
Otto Man,Cupid,0,,,,,,,,,,,,,
Otto Man,Cupid,1,,6,,,,,,,,,,,el-coyote
Otto Man,Cupid,2,,,,,,,,,,,,,
Otto Man,Cupid,3,,,,,,,,,,,,,
Otto Man,Cupid,4,,,,,,,,,,,,,
Otto Man,Cupid,5,,,,,,,,,,,,,
Otto Man,Cupid,6,,,,,,,,,,,,,
Picasso,Cupid,0,,7,,,,,,5,,,,,the-colosseum
Picasso,Cupid,1,12,9,,,,,,,3,,,,the-colosseum
Picasso,Cupid,2,,,,,,,,,,,,,
Picasso,Cupid,3,,,,,,,,,,,,,
Picasso,Cupid,4,,,,,,,,,,,,,
Picasso,Cupid,5,,,,,,,,,,,,,
Picasso,Cupid,6,,,,,,,,,,,,,
Singer,Cupid,0,3,6,,,,,,5,,,,,the-colosseum
Singer,Cupid,1,12,15,,,,,,,3,1,,,"the-colosseum, the-grove, the-olympiad"
Singer,Cupid,2,,,,,,,,,,,,,
Singer,Cupid,3,,,,,,,,,,,,,
Singer,Cupid,4,,,,,,,,,,,,,
Singer,Cupid,5,,,,,,,,,,,,,
Singer,Cupid,6,,,,,,,,,,,,,
Sizzler,Cupid,0,,3,,,,,,5,,,,,the-colosseum
Sizzler,Cupid,1,3,10,,,,,,,,,,,"black-diamond, the-grove, the-olympiad"
Sizzler,Cupid,2,,,,,,,,,,,,,
Sizzler,Cupid,3,,,,,,,,,,,,,
Sizzler,Cupid,4,,,,,,,,,,,,,
Sizzler,Cupid,5,,,,,,,,,,,,,
Sizzler,Cupid,6,,,,,,,,,,,,,
Soft Hands,Cupid,0,3,3,,,,,,5,,,,,the-colosseum
Soft Hands,Cupid,1,9,16,,,,3,,,3,,,10,"black-diamond, el-coyote, the-colosseum, the-olympiad"
Soft Hands,Cupid,2,,,,,,,,,,,,,
Soft Hands,Cupid,3,,,,,,,,,,,,,
Soft Hands,Cupid,4,,,,,,,,,,,,,
Soft Hands,Cupid,5,,,,,,,,,,,,,
Soft Hands,Cupid,6,,,,,,,,,,,,,
Sparkler,Cupid,0,,6,,,,,,5,,,,,the-colosseum
Sparkler,Cupid,1,12,10,,,,3,,,3,,,,"black-diamond, dmz, the-colosseum"
Sparkler,Cupid,2,,,,,,,,,,,,,
Sparkler,Cupid,3,,,,,,,,,,,,,
Sparkler,Cupid,4,,,,,,,,,,,,,
Sparkler,Cupid,5,,,,,,,,,,,,,
Sparkler,Cupid,6,,,,,,,,,,,,,
Spike Horn,Cupid,0,3,3,,,,,,5,,,,,the-colosseum
Spike Horn,Cupid,1,6,10,,,,,,,,,,,"black-diamond, the-colosseum, the-olympiad"
Spike Horn,Cupid,2,,,,,,,,,,,,,
Spike Horn,Cupid,3,,,,,,,,,,,,,
Spike Horn,Cupid,4,,,,,,,,,,,,,
Spike Horn,Cupid,5,,,,,,,,,,,,,
Spike Horn,Cupid,6,,,,,,,,,,,,,
Spirit,Cupid,0,,,,,,,,,,,,,
Spirit,Cupid,1,,3,,,,,,,,,,,the-ridge
Spirit,Cupid,2,,,,,,,,,,,,,
Spirit,Cupid,3,,,,,,,,,,,,,
Spirit,Cupid,4,,,,,,,,,,,,,
Spirit,Cupid,5,,,,,,,,,,,,,
Spirit,Cupid,6,,,,,,,,,,,,,
Ball boy,Dancer,0,,,,,,,,,,,,,
Ball boy,Dancer,1,,,,,,,,,,,,,
Ball boy,Dancer,2,,,,,,,,,,,,,
Ball boy,Dancer,3,,,,,,,,,,,,,
Ball boy,Dancer,4,,,,,,,,,,,,,
Ball boy,Dancer,5,,,,,,,,,,,,,
Ball boy,Dancer,6,,,,,,,,,,,,,
Bill Nye,Dancer,0,,,,,,,,,,,,,
Bill Nye,Dancer,1,,,,,,,,,,,,,
Bill Nye,Dancer,2,,,,,,,,,,,,,
Bill Nye,Dancer,3,,,,,,,,,,,,,
Bill Nye,Dancer,4,,,,,,,,,,,,,
Bill Nye,Dancer,5,,,,,,,,,,,,,
Bill Nye,Dancer,6,,,,,,,,,,,,,
Boston Butt,Dancer,0,,3,,,,,,5,,,,,the-colosseum
Boston Butt,Dancer,1,3,6,,,,,,,,,,,"the-colosseum, the-silo"
Boston Butt,Dancer,2,,,,,,,,,,,,,
Boston Butt,Dancer,3,,,,,,,,,,,,,
Boston Butt,Dancer,4,,,,,,,,,,,,,
Boston Butt,Dancer,5,,,,,,,,,,,,,
Boston Butt,Dancer,6,,,,,,,,,,,,,
Cinderella,Dancer,0,3,3,,,,3,,5,,,,,the-colosseum
Cinderella,Dancer,1,9,15,,,,3,,,3,,,,"the-colosseum, the-olympiad, the-ridge, the-silo"
Cinderella,Dancer,2,,,,,,,,,,,,,
Cinderella,Dancer,3,,,,,,,,,,,,,
Cinderella,Dancer,4,,,,,,,,,,,,,
Cinderella,Dancer,5,,,,,,,,,,,,,
Cinderella,Dancer,6,,,,,,,,,,,,,
Cutler,Dancer,0,3,6,,,,3,,5,,,,,the-colosseum
Cutler,Dancer,1,15,18,5,4,,3,5,,3,,,,"black-rock, the-colosseum, the-olympiad, the-ridge, the-silo"
Cutler,Dancer,2,,,,,,,,,,,,,
Cutler,Dancer,3,,,,,,,,,,,,,
Cutler,Dancer,4,,,,,,,,,,,,,
Cutler,Dancer,5,,,,,,,,,,,,,
Cutler,Dancer,6,,,,,,,,,,,,,
Dear Abby,Dancer,0,3,6,,,,3,,5,,,,,the-colosseum
