date,region,ao_id,q_user_id,user_id,Current Post Count
"Jul 15, 2025",f3crossroads,C09DDA04MSL,U016890PYHM,U016890PYHM,1
"Jul 16, 2025",f3crossroads,C09DDA04MSL,U017E4NMFQV,U017E4NMFQV,1
"Jul 18, 2025",f3crossroads,C09DDA04MSL,U017E4NMFQV,U017G12529J,1
"Jul 20, 2025",f3crossroads,C09DDA04MSL,U017QPPJVJ5,U017QPPJVJ5,1
"Jul 20, 2025",f3crossroads,C09DDA04MSL,U03SX99V3PU,U03SX99V3PU,1
"Jul 20, 2025",f3crossroads,C09DDA04MSL,U041T9ACB3L,U041T9ACB3L,1
"Jul 21, 2025",f3crossroads,C09DDA04MSL,U047GFQH4HL,U047GFQH4HL,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U06H3QB4KMY,U06H3QB4KMY,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U06H3QB4KMY,U071GSVM24B,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U06H3QB4KMY,U017BQTUL3D,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U06H3QB4KMY,U05QD3D6ZK7,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U06H3QB4KMY,U03TX17L7AQ,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U06H3QB4KMY,U056VUVJ63D,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U06H3QB4KMY,U07DTG7DY07,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U06H3QB4KMY,U04M8MS2WHJ,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U017QPPJVJ5,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U070NTWF7G8,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U018098KAAC,U018098KAAC,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U03U8N4P5G8,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U04Q01BPTPE,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U07CY9BC4UV,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U077RQMTNG3,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U05UDL3EVGR,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U020A7W78FQ,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U0603QP17QE,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U040YRLSFNW,U040YRLSFNW,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U017E4NMFQV,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U0194BS66MQ,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U05C8DP6YS0,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U04RQB0TXFS,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U02F2UV0MCL,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U051330RY2J,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U018377K57S,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U05FDSP0YD7,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U0536BG9AMU,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U07GJC6UG1Z,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U017E4NMFQV,U017Q7Q4CSD,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U08RFHRKC5P,U03SX99V3PU,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U08RFHRKC5P,U03T43SBJNA,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U08RFHRKC5P,U041R4GK79V,1
"Jul 13, 2025",f3crossroads,TBD001CSAUP,U08RFHRKC5P,U08RFHRKC5P,1
