user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,110,26,11,<NA>,<NA>,<NA>
Algorithm,Comet,10,152,21,20,<NA>,<NA>,<NA>
And1,Dancer,0,11,0,0,0,0,0
BABYMOMMA,Dasher,10,203,23,42,<NA>,<NA>,<NA>
BORG,Dasher,0,32,8,3,3,5,0
Backstreet,Rudolph,0,59,12,6,<NA>,<NA>,<NA>
Bambino,Comet,0,47,6,3,3,5,<NA>
Bedpan,Donner,10,283,32,44,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,226,27,29,<NA>,<NA>,<NA>
Bob Villa,Comet,10,371,47,72,<NA>,<NA>,<NA>
BoilerUp,Rudolph,10,44,6,13,<NA>,<NA>,<NA>
Boomer,Prancer,20,378,39,72,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,17,3,3,<NA>,<NA>,<NA>
Broomstick,Vixen,10,149,18,49,<NA>,<NA>,<NA>
Bunker,Cupid,0,109,15,32,<NA>,<NA>,<NA>
Caboose,Cupid,0,139,19,0,<NA>,<NA>,<NA>
Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,197,31,15,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,107,19,5,<NA>,<NA>,<NA>
Chernobyl,Cupid,0,12,2,3,3,0,0
Choco Taco,Comet,10,145,11,42,3,5,<NA>
Chum Bucket,Donner,20,354,36,55,<NA>,<NA>,<NA>
Cinderella,Dancer,20,259,30,46,<NA>,<NA>,<NA>
Circuit City,Prancer,0,35,10,2,3,5,0
Corner Kick,Donner,0,124,17,27,<NA>,<NA>,<NA>
Cowbell,Rudolph,0,59,12,0,<NA>,<NA>,<NA>
Crotch Rocket,Dancer,10,16,2,0,3,0,0
Cutler,Dancer,20,343,36,88,<NA>,<NA>,<NA>
DEADBOLT,Dancer,0,3,1,0,3,0,0
DJ Sump Pump,Comet,10,204,34,10,<NA>,<NA>,<NA>
Dan-D-LION,Rudolph,0,6,2,0,3,0,<NA>
Danica,Comet,0,114,23,0,3,5,<NA>
Dauber,Comet,20,564,76,93,<NA>,<NA>,<NA>
Dear Abby,Dancer,0,173,23,33,<NA>,<NA>,<NA>
Deliverance,Prancer,0,95,18,0,<NA>,<NA>,<NA>
Den Mother,Vixen,0,75,11,3,<NA>,<NA>,<NA>
Depends (3rdF Q),Prancer,20,393,43,78,<NA>,<NA>,<NA>
Derailed,Blitzen,0,80,11,31,<NA>,<NA>,<NA>
Dilbert,Prancer,0,270,26,63,<NA>,<NA>,<NA>
Dilly Dilly,Vixen,0,193,28,46,<NA>,<NA>,<NA>
