user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,104,24,11,<NA>,<NA>,<NA>
Algorithm,Comet,10,152,21,20,<NA>,<NA>,<NA>
And1,Dancer,0,11,0,0,<NA>,<NA>,<NA>
BABYMOMMA,Dasher,10,203,23,42,<NA>,<NA>,<NA>
BORG,Dasher,0,32,8,3,3,5,0
Backstreet,Rudolph,0,53,10,6,<NA>,<NA>,<NA>
Bambino,Comet,0,47,6,3,3,5,<NA>
Bedpan,Donner,10,248,28,41,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,217,26,27,<NA>,<NA>,<NA>
Bob Villa,Comet,10,342,44,71,<NA>,<NA>,<NA>
BoilerUp,Rudolph,10,44,6,13,<NA>,<NA>,<NA>
Boomer,Prancer,20,337,34,63,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,17,3,3,<NA>,<NA>,<NA>
Broomstick,Vixen,10,139,16,46,<NA>,<NA>,<NA>
Bunker,Cupid,0,104,15,32,<NA>,<NA>,<NA>
Caboose,Cupid,0,115,17,0,<NA>,<NA>,<NA>
Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,168,28,9,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,101,17,5,<NA>,<NA>,<NA>
Chernobyl,Cupid,0,12,2,3,3,0,0
Choco Taco,Comet,10,131,10,39,3,5,<NA>
Chum Bucket,Donner,20,314,33,52,<NA>,<NA>,<NA>
Cinderella,Dancer,20,245,28,43,<NA>,<NA>,<NA>
Circuit City,Prancer,0,32,9,2,3,5,0
Corner Kick,Donner,0,116,16,25,<NA>,<NA>,<NA>
Cowbell,Rudolph,0,50,10,0,<NA>,<NA>,<NA>
Crotch Rocket,Dancer,10,16,2,0,3,0,0
Cutler,Dancer,20,302,32,79,<NA>,<NA>,<NA>
DJ Sump Pump,Comet,10,204,34,10,<NA>,<NA>,<NA>
Dan-D-LION,Rudolph,0,6,2,0,3,0,<NA>
Danica,Comet,0,103,21,0,3,5,<NA>
Dauber,Comet,20,505,68,84,<NA>,<NA>,<NA>
Dear Abby,Dancer,0,152,20,30,<NA>,<NA>,<NA>
Deliverance,Prancer,0,84,17,0,<NA>,<NA>,<NA>
Den Mother,Vixen,0,66,10,3,<NA>,<NA>,<NA>
Depends (3rdF Q),Prancer,20,347,39,73,<NA>,<NA>,<NA>
Derailed,Blitzen,0,80,11,31,<NA>,<NA>,<NA>
Dilbert,Prancer,0,251,25,60,<NA>,<NA>,<NA>
Dilly Dilly,Vixen,0,171,24,39,<NA>,<NA>,<NA>
Dog House,Dasher,20,497,70,81,<NA>,<NA>,<NA>
Doozie,Dasher,20,304,34,59,<NA>,<NA>,<NA>
Double dipper,Cupid,0,14,2,0,3,0,0
Dr. Loco,Rudolph,0,6,2,0,3,0,0
Drive By,Dasher,0,48,7,3,<NA>,<NA>,<NA>
Duck Hunt,Cupid,10,221,28,57,<NA>,<NA>,<NA>
Dungeon Master,Prancer,0,3,1,0,3,0,0
Eleanor,Dancer,0,19,2,0,3,0,0
Ferkus,Prancer,0,5,0,0,<NA>,<NA>,<NA>
Fire Hose,Comet,0,33,5,0,3,5,<NA>
Fish Tape,Vixen,0,47,14,0,<NA>,<NA>,<NA>
Flo,Prancer,0,84,15,31,<NA>,<NA>,<NA>
Foghorn,Dancer,20,260,27,51,<NA>,<NA>,<NA>
Folgers,Rudolph,10,78,8,24,<NA>,<NA>,<NA>
Foreclosure,Rudolph,20,229,23,62,<NA>,<NA>,<NA>
Foundation,Blitzen,0,39,5,6,<NA>,<NA>,<NA>
Four Square,Dancer,0,3,0,3,<NA>,<NA>,<NA>
Frontier,Comet,20,132,10,27,<NA>,<NA>,<NA>
Ginga,Vixen,0,32,9,0,<NA>,<NA>,<NA>
Glass Slipper,Prancer,0,14,3,0,3,0,0
Go Daddy,Vixen,0,14,2,0,3,0,<NA>
