user,team,week,ec,1stf,ATW,6pack,3rdf,Donation,qs,2ndf,popup,workout Q,QSQ,hardsh!t,ao_list
Xena- Warrior Princess,Blitzen,1,0,3,0,0,0,0,5,0,3,0,0,0,the-colosseum
Xena- Warrior Princess,Blitzen,2,0,0,0,0,0,0,0,0,0,0,0,0,
Xena- Warrior Princess,Blitzen,3,0,0,0,0,0,0,0,0,0,0,0,0,
Xena- Warrior Princess,Blitzen,4,0,0,0,0,0,0,0,0,0,0,0,0,
Xena- Warrior Princess,Blitzen,5,0,0,0,0,0,0,0,0,0,0,0,0,
Xena- Warrior Princess,Blitzen,6,0,0,0,0,0,0,0,0,0,0,0,0,
Algorithm,Comet,0,3,6,0,0,0,3,0,5,0,0,0,0,the-colosseum
Algorithm,Comet,1,0,3,0,0,0,0,0,5,0,1,0,10,the-ridge
Algorithm,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Algorithm,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Algorithm,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Algorithm,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Algorithm,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Bambino,Comet,0,3,3,0,0,0,3,0,5,0,0,0,0,the-colosseum
Bambino,Comet,1,0,0,0,0,0,0,0,5,0,0,0,0,
Bambino,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Bambino,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Bambino,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Bambino,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Bambino,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Bob Villa,Comet,0,3,6,0,0,0,0,0,5,0,0,0,0,the-colosseum
Bob Villa,Comet,1,6,6,0,0,0,0,0,0,3,0,0,0,the-grove
Bob Villa,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Bob Villa,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Bob Villa,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Bob Villa,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Bob Villa,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Choco Taco,Comet,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Choco Taco,Comet,1,3,3,0,0,0,0,0,5,0,0,0,10,the-ridge
Choco Taco,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Choco Taco,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Choco Taco,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Choco Taco,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Choco Taco,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
DJ Sump Pump,Comet,0,0,3,0,0,0,3,0,5,0,0,0,0,the-colosseum
DJ Sump Pump,Comet,1,0,3,0,0,0,0,0,0,0,0,0,0,the-ridge
DJ Sump Pump,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
DJ Sump Pump,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
DJ Sump Pump,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
DJ Sump Pump,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
DJ Sump Pump,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Dauber,Comet,0,3,6,0,0,5,3,0,5,0,0,0,0,the-colosseum
Dauber,Comet,1,6,9,0,0,0,0,0,5,0,0,0,10,the-colosseum
Dauber,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Dauber,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Dauber,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Dauber,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Dauber,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Fire Hose,Comet,0,0,3,0,0,5,0,0,5,0,0,0,0,the-colosseum
Fire Hose,Comet,1,0,0,0,0,0,0,0,0,3,0,0,0,
Fire Hose,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Fire Hose,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Fire Hose,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Fire Hose,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Fire Hose,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Frontier,Comet,0,3,6,0,0,5,3,0,5,0,0,0,0,the-colosseum
Frontier,Comet,1,3,3,0,0,0,0,0,5,3,0,0,10,
Frontier,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Frontier,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Frontier,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Frontier,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Frontier,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Happy Camper,Comet,0,0,6,0,0,0,3,0,5,0,0,0,0,the-colosseum
Happy Camper,Comet,1,6,3,0,0,0,0,0,0,3,0,0,0,the-silo
Happy Camper,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Happy Camper,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Happy Camper,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Happy Camper,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Happy Camper,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Hatchet (Lizard Q),Comet,0,0,6,0,0,0,3,0,5,0,0,0,0,the-colosseum
Hatchet (Lizard Q),Comet,1,3,3,0,0,0,0,5,0,3,0,0,0,the-colosseum
Hatchet (Lizard Q),Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Hatchet (Lizard Q),Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Hatchet (Lizard Q),Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Hatchet (Lizard Q),Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Hatchet (Lizard Q),Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Heifer,Comet,0,0,6,0,0,0,0,0,5,0,0,0,0,the-colosseum
Heifer,Comet,1,0,0,0,0,0,0,0,0,0,0,0,0,
Heifer,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Heifer,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Heifer,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Heifer,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Heifer,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Hot Lava,Comet,0,3,6,0,0,5,3,0,5,0,0,0,0,the-colosseum
Hot Lava,Comet,1,3,6,0,0,0,0,0,5,3,0,0,10,the-colosseum
Hot Lava,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Hot Lava,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Hot Lava,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Hot Lava,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Hot Lava,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Mahomes,Comet,0,3,6,0,0,5,3,0,5,0,0,0,0,the-colosseum
Mahomes,Comet,1,6,9,0,0,0,0,0,5,3,1,0,10,the-colosseum
Mahomes,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Mahomes,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Mahomes,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Mahomes,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Mahomes,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Manhole,Comet,0,3,6,0,0,5,3,0,5,0,0,0,0,the-colosseum
Manhole,Comet,1,3,6,0,0,0,0,0,5,3,0,0,10,the-colosseum
Manhole,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Manhole,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Manhole,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Manhole,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Manhole,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Meta,Comet,0,3,6,0,0,5,3,0,5,0,0,0,0,the-colosseum
Meta,Comet,1,3,6,0,0,0,0,0,5,3,0,0,10,the-ridge
Meta,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Meta,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Meta,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Meta,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Meta,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Pearl,Comet,0,3,6,0,0,5,0,0,5,0,0,0,0,the-colosseum
Pearl,Comet,1,0,6,0,0,0,0,5,5,3,0,0,0,"the-colosseum, the-ridge"
Pearl,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Pearl,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Pearl,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Pearl,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Pearl,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Peterbilt,Comet,0,0,6,0,0,0,3,0,5,0,0,0,0,the-colosseum
Peterbilt,Comet,1,0,3,0,0,0,0,0,0,3,0,0,0,
Peterbilt,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Peterbilt,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Peterbilt,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Peterbilt,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Peterbilt,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Pull-up,Comet,0,0,6,0,0,0,3,0,5,0,0,0,0,the-colosseum
Pull-up,Comet,1,6,6,0,0,0,0,0,5,3,0,0,0,"the-colosseum, the-ridge"
Pull-up,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Pull-up,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Pull-up,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Pull-up,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Pull-up,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Second Best,Comet,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Second Best,Comet,1,0,3,0,0,0,0,0,0,0,0,0,0,the-grove
Second Best,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Second Best,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Second Best,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Second Best,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Second Best,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Shankapotomus,Comet,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Shankapotomus,Comet,1,0,3,0,0,0,0,0,0,3,0,0,0,the-ridge
Shankapotomus,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Shankapotomus,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Shankapotomus,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Shankapotomus,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Shankapotomus,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Six Sheets,Comet,0,3,6,0,0,0,0,0,5,0,0,0,0,the-colosseum
Six Sheets,Comet,1,3,3,0,0,0,0,0,0,3,0,0,0,the-ridge
Six Sheets,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Six Sheets,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Six Sheets,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Six Sheets,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Six Sheets,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Tighty Whities,Comet,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Tighty Whities,Comet,1,3,3,0,0,0,0,0,0,0,0,0,0,the-colosseum
Tighty Whities,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Tighty Whities,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Tighty Whities,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Tighty Whities,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Tighty Whities,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Toby,Comet,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Toby,Comet,1,0,0,0,0,0,0,0,0,0,0,0,0,
Toby,Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Toby,Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Toby,Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Toby,Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Toby,Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Wing Stop (F3 Naperville),Comet,0,0,3,0,0,0,3,0,5,0,0,0,0,the-colosseum
Wing Stop (F3 Naperville),Comet,1,0,6,0,0,0,0,0,0,3,0,0,0,the-colosseum
Wing Stop (F3 Naperville),Comet,2,0,0,0,0,0,0,0,0,0,0,0,0,
Wing Stop (F3 Naperville),Comet,3,0,0,0,0,0,0,0,0,0,0,0,0,
Wing Stop (F3 Naperville),Comet,4,0,0,0,0,0,0,0,0,0,0,0,0,
Wing Stop (F3 Naperville),Comet,5,0,0,0,0,0,0,0,0,0,0,0,0,
Wing Stop (F3 Naperville),Comet,6,0,0,0,0,0,0,0,0,0,0,0,0,
Bunker,Cupid,0,0,0,0,0,0,3,0,0,0,0,0,0,
Bunker,Cupid,1,0,6,0,0,0,0,0,0,3,1,0,0,"the-colosseum, the-grove"
Bunker,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Bunker,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
Bunker,Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
Bunker,Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
Bunker,Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
Caboose,Cupid,0,0,6,0,0,0,3,0,5,0,0,0,0,the-colosseum
Caboose,Cupid,1,0,3,0,0,0,0,0,5,0,0,0,0,the-grove
Caboose,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Caboose,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
Caboose,Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
Caboose,Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
Caboose,Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
Candy Man,Cupid,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Candy Man,Cupid,1,0,3,0,0,0,0,0,0,0,0,0,0,the-colosseum
Candy Man,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Candy Man,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
Candy Man,Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
Candy Man,Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
Candy Man,Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
Double dipper,Cupid,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
Double dipper,Cupid,1,0,0,0,0,0,0,0,0,0,0,0,0,
Double dipper,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Double dipper,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
Double dipper,Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
Double dipper,Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
Double dipper,Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
Duck Hunt,Cupid,0,3,6,0,0,0,0,0,5,0,0,0,0,the-colosseum
Duck Hunt,Cupid,1,6,7,0,0,0,0,0,5,3,1,0,0,"black-diamond, the-colosseum"
Duck Hunt,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Duck Hunt,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
Duck Hunt,Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
Duck Hunt,Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
Duck Hunt,Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
Great Clips,Cupid,0,0,0,0,0,0,0,0,0,0,0,0,0,
Great Clips,Cupid,1,0,0,0,0,5,0,0,0,0,0,0,0,
Great Clips,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Great Clips,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
Great Clips,Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
Great Clips,Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
Great Clips,Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
GrubX (CMW),Cupid,0,0,3,0,0,0,0,0,5,0,0,0,0,the-colosseum
GrubX (CMW),Cupid,1,3,7,0,0,0,0,0,0,3,0,0,0,black-diamond
GrubX (CMW),Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
GrubX (CMW),Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
GrubX (CMW),Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
GrubX (CMW),Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
GrubX (CMW),Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
Laces Out,Cupid,0,0,0,0,0,0,0,0,0,0,0,0,0,
Laces Out,Cupid,1,0,0,0,0,0,0,0,0,0,0,0,0,
Laces Out,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Laces Out,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
Laces Out,Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
Laces Out,Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
Laces Out,Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
Lot lizard,Cupid,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lot lizard,Cupid,1,0,0,0,0,0,0,0,0,0,0,0,0,
Lot lizard,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Lot lizard,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
Lot lizard,Cupid,4,0,0,0,0,0,0,0,0,0,0,0,0,
Lot lizard,Cupid,5,0,0,0,0,0,0,0,0,0,0,0,0,
Lot lizard,Cupid,6,0,0,0,0,0,0,0,0,0,0,0,0,
Otto Man,Cupid,0,0,0,0,0,0,0,0,0,0,0,0,0,
Otto Man,Cupid,1,0,0,0,0,0,0,0,0,0,0,0,0,
Otto Man,Cupid,2,0,0,0,0,0,0,0,0,0,0,0,0,
Otto Man,Cupid,3,0,0,0,0,0,0,0,0,0,0,0,0,
