date,week,Team,user_name,ao,type,points,notes
2025-11-01,0,Comet,Dauber,3rd-f,3rdf,5,Food Pantry
2025-11-01,0,Comet,Dauber,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,Comet,Dauber,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,Comet,Dauber,ao-the-colosseum,1stf,3,ao-the-colosseum - Spit Valves Bootcamp
2025-11-01,0,Comet,Dauber,rg_ec3,ec,3,"EC, noice!"
2025-11-01,0,Comet,Dauber,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-11-02,1,Comet,Dauber,2nd-f,2ndf,5,Bears Game at Rosatis
2025-11-02,1,Comet,Dauber,2nd-f,2ndf,0,2nd F already achieved this week
2025-11-02,1,Comet,Dauber,rg_hardshit,hardsh!t,10,I'll bet you're tired now!
2025-11-03,1,Comet,Dauber,rg_ec3,ec,3,"EC, noice!"
2025-11-01,0,Donner,Chum Bucket,3rd-f,3rdf,5,Food Pantry
2025-11-01,0,Donner,Chum Bucket,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,Donner,Chum Bucket,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,Donner,Chum Bucket,ao-the-colosseum,1stf,3,ao-the-colosseum - Spit Valves Bootcamp
2025-11-01,0,Donner,Chum Bucket,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-11-02,1,Donner,Chum Bucket,rg_hardshit,hardsh!t,10,I'll bet you're tired now!
2025-11-01,0,Comet,Meta,3rd-f,3rdf,5,Food Pantry
2025-11-01,0,Comet,Meta,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,Comet,Meta,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,Comet,Meta,ao-the-colosseum,1stf,3,ao-the-colosseum - Spit Valves Bootcamp
2025-11-01,0,Comet,Meta,rg_ec3,ec,3,"EC, noice!"
2025-11-01,0,Comet,Meta,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-11-02,1,Comet,Meta,2nd-f,2ndf,5,Bears and Pizza
2025-11-02,1,Comet,Meta,rg_hardshit,hardsh!t,10,I'll bet you're tired now!
2025-11-01,0,Comet,Fire Hose,3rd-f,3rdf,5,Food Pantry
2025-11-01,0,Comet,Fire Hose,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,Comet,Fire Hose,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,Donner,fuzzy navel,3rd-f,3rdf,5,Food Pantry
2025-11-01,0,Donner,fuzzy navel,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,Donner,fuzzy navel,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,Donner,fuzzy navel,ao-the-colosseum,1stf,3,ao-the-colosseum - Spit Valves Bootcamp
2025-11-02,1,Donner,fuzzy navel,2nd-f,2ndf,5,Bears Game at Rosatis
2025-11-02,1,Donner,fuzzy navel,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-11-01,0,Comet,Hot Lava,3rd-f,3rdf,5,Food Pantry
2025-11-01,0,Comet,Hot Lava,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-01,0,Comet,Hot Lava,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
