user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,119,29,11,<NA>,<NA>,<NA>
Algorithm,Comet,10,155,22,20,<NA>,<NA>,<NA>
And1,Dancer,0,11,0,0,0,0,0
BABYMOMMA,Dasher,10,208,23,42,<NA>,<NA>,<NA>
BORG,Dasher,0,32,8,3,3,5,0
Backstreet,Rudolph,0,65,13,6,<NA>,<NA>,<NA>
Bambino,Comet,0,47,6,3,3,5,<NA>
Bedpan,Donner,10,312,35,48,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,235,28,29,<NA>,<NA>,<NA>
Bob Villa,Comet,10,406,52,75,<NA>,<NA>,<NA>
BoilerUp,Rudolph,10,47,7,13,<NA>,<NA>,<NA>
Boomer,Prancer,20,409,42,78,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,20,4,3,<NA>,<NA>,<NA>
Broomstick,Vixen,10,168,21,55,<NA>,<NA>,<NA>
Bunker,Cupid,0,112,16,32,<NA>,<NA>,<NA>
Caboose,Cupid,0,139,19,0,<NA>,<NA>,<NA>
Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,223,34,24,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,107,19,5,<NA>,<NA>,<NA>
Chernobyl,Cupid,0,12,2,3,3,0,0
Choco Taco,Comet,10,148,11,45,3,5,<NA>
Chum Bucket,Donner,20,373,39,60,<NA>,<NA>,<NA>
Cinderella,Dancer,20,273,33,49,<NA>,<NA>,<NA>
Circuit City,Prancer,0,47,12,8,3,5,0
Corner Kick,Donner,0,134,19,31,<NA>,<NA>,<NA>
Cowbell,Rudolph,0,59,12,0,<NA>,<NA>,<NA>
Crotch Rocket,Dancer,10,16,2,0,3,0,0
Cutler,Dancer,20,381,39,97,<NA>,<NA>,<NA>
DEADBOLT,Dancer,0,3,1,0,3,0,0
DJ Sump Pump,Comet,10,237,40,10,<NA>,<NA>,<NA>
Dan-D-LION,Rudolph,0,6,2,0,3,0,<NA>
Danica,Comet,0,117,24,0,3,5,<NA>
Dauber,Comet,20,630,87,102,<NA>,<NA>,<NA>
Dear Abby,Dancer,0,191,26,42,<NA>,<NA>,<NA>
Deliverance,Prancer,0,101,20,0,<NA>,<NA>,<NA>
Den Mother,Vixen,0,75,11,3,<NA>,<NA>,<NA>
Depends (3rdF Q),Prancer,20,424,47,87,<NA>,<NA>,<NA>
Derailed,Blitzen,0,91,13,35,<NA>,<NA>,<NA>
Dilbert,Prancer,0,301,29,66,<NA>,<NA>,<NA>
Dilly Dilly,Vixen,0,212,31,50,<NA>,<NA>,<NA>
Dog House,Dasher,20,644,90,99,<NA>,<NA>,<NA>
Doozie,Dasher,20,326,36,62,<NA>,<NA>,<NA>
Double dipper,Cupid,0,14,2,0,3,0,0
Dr. Loco,Rudolph,0,6,2,0,3,0,0
Drive By,Dasher,0,51,8,3,<NA>,<NA>,<NA>
Duck Hunt,Cupid,10,239,32,60,<NA>,<NA>,<NA>
Dungeon Master,Prancer,0,3,1,0,3,0,0
Eleanor,Dancer,0,22,2,0,3,0,0
Ferkus,Prancer,0,5,0,0,0,0,0
Fire Hose,Comet,0,33,5,0,3,5,<NA>
Fish Tape,Vixen,0,53,16,0,<NA>,<NA>,<NA>
Flo,Prancer,0,92,17,33,<NA>,<NA>,<NA>
Foghorn,Dancer,20,316,33,63,<NA>,<NA>,<NA>
Folgers,Rudolph,10,84,10,24,<NA>,<NA>,<NA>
Foreclosure,Rudolph,20,266,26,71,<NA>,<NA>,<NA>
Foundation,Blitzen,0,42,6,6,<NA>,<NA>,<NA>
Four Square,Dancer,0,6,1,3,3,0,0
Frontier,Comet,20,132,10,27,<NA>,<NA>,<NA>
Ginga,Vixen,0,38,11,0,<NA>,<NA>,<NA>
Glass Slipper,Prancer,0,14,3,0,3,0,0
Go Daddy,Vixen,0,14,2,0,3,0,<NA>
Gopher,Blitzen,10,35,4,3,<NA>,<NA>,<NA>
Great Clips,Cupid,0,11,1,0,<NA>,<NA>,<NA>
Grinch,Dasher,0,3,0,0,<NA>,<NA>,<NA>
Griner,Comet,0,5,0,0,0,0,<NA>
GrubX (CMW),Cupid,10,73,15,6,<NA>,<NA>,<NA>
Grunts,Rudolph,0,26,5,9,3,5,0
HGTV,Donner,0,12,3,0,<NA>,<NA>,<NA>
Hackman,Vixen,0,53,13,6,<NA>,<NA>,<NA>
HandsOn,Dancer,0,39,10,0,3,5,0
Hanger,Donner,10,172,24,39,<NA>,<NA>,<NA>
Hank Hill,Prancer,10,510,63,96,<NA>,<NA>,<NA>
Happy Camper,Comet,20,316,33,56,<NA>,<NA>,<NA>
Hat Trick,Vixen,0,95,15,21,<NA>,<NA>,<NA>
Hatchet (Lizard Q),Comet,0,123,18,18,<NA>,<NA>,<NA>
Heifer,Comet,0,49,11,0,3,5,<NA>
Hodl,Dancer,20,479,53,97,<NA>,<NA>,<NA>
Homer Simpson,Rudolph,0,71,7,6,<NA>,<NA>,<NA>
Hot Boxx,Prancer,0,11,1,0,<NA>,<NA>,<NA>
Hot Lava,Comet,10,530,66,102,<NA>,<NA>,<NA>
Hot Pants,Comet,0,9,2,0,3,0,0
Hydrant,Vixen,0,7,1,1,<NA>,<NA>,<NA>
Italian Ice,Rudolph,0,95,24,3,<NA>,<NA>,<NA>
Jellystone,Dasher,20,197,21,45,<NA>,<NA>,<NA>
John Denver,Donner,10,112,16,39,<NA>,<NA>,<NA>
Juanita,Donner,20,228,28,48,<NA>,<NA>,<NA>
Jugz,Comet,0,15,2,3,3,0,<NA>
Just Dance,Blitzen,10,111,14,39,<NA>,<NA>,<NA>
Kidney Beans,Blitzen,0,77,16,24,<NA>,<NA>,<NA>
Kindle,Vixen,0,9,2,3,3,0,0
LaRussa,Dasher,0,33,4,6,<NA>,<NA>,<NA>
Laces Out,Cupid,0,26,7,0,<NA>,<NA>,<NA>
Large Marge,Donner,0,12,3,0,<NA>,<NA>,<NA>
Liberty Biberty,Prancer,0,148,23,32,<NA>,<NA>,<NA>
Lot lizard,Cupid,0,23,3,6,<NA>,<NA>,<NA>
Mahomes,Comet,20,428,47,78,<NA>,<NA>,<NA>
Manhole,Comet,20,537,66,102,<NA>,<NA>,<NA>
Mapquest,Rudolph,0,30,10,0,<NA>,<NA>,<NA>
Marinara,Rudolph,0,26,7,0,3,5,7
Martha Stewart,Dancer,20,61,9,8,3,5,0
Meta,Comet,20,569,77,96,<NA>,<NA>,<NA>
Moist,Donner,0,107,17,37,<NA>,<NA>,<NA>
Morticia,Blitzen,0,109,23,15,<NA>,<NA>,<NA>
Mr. Belding,Donner,0,116,19,40,<NA>,<NA>,<NA>
Mr. Kotter,Donner,10,185,31,27,<NA>,<NA>,<NA>
Napster,Rudolph,10,249,30,45,<NA>,<NA>,<NA>
Nemo,Prancer,20,351,38,79,<NA>,<NA>,<NA>
Nickelback,Rudolph,0,39,6,0,<NA>,<NA>,<NA>
Norm,Dasher,20,230,27,51,<NA>,<NA>,<NA>
Old Maid,Dasher,0,175,24,12,<NA>,<NA>,<NA>
Olive Oyl,Dasher,0,108,11,6,<NA>,<NA>,<NA>
Ollie,Vixen,0,8,1,0,<NA>,<NA>,<NA>
Otto Man,Cupid,0,19,6,1,<NA>,<NA>,<NA>
Ozark,Dancer,0,34,7,2,<NA>,<NA>,<NA>
PFG,Prancer,10,153,32,12,<NA>,<NA>,<NA>
Party in a bottle,Dancer,10,163,23,24,<NA>,<NA>,<NA>
Pearl,Comet,10,210,21,30,<NA>,<NA>,<NA>
Peashooter,Donner,0,72,12,18,<NA>,<NA>,<NA>
Pee Wee Herman,Blitzen,0,110,27,8,<NA>,<NA>,<NA>
Peterbilt,Comet,0,356,57,14,<NA>,<NA>,<NA>
Phoenix,Dancer,0,262,38,12,<NA>,<NA>,<NA>
Picasso,Cupid,0,146,22,57,<NA>,<NA>,<NA>
Pit Boss,Donner,0,42,8,10,3,5,0
Pop-Tart,Dancer,10,324,38,44,<NA>,<NA>,<NA>
Pull-up,Comet,20,315,30,74,<NA>,<NA>,<NA>
Quatro,Vixen,0,79,16,5,<NA>,<NA>,<NA>
Rabbit,Rudolph,0,18,6,0,3,5,0
Ricochet,Dancer,0,334,44,102,<NA>,<NA>,<NA>
Ricola,Rudolph,20,379,43,78,<NA>,<NA>,<NA>
Ringo,Rudolph,20,275,32,22,<NA>,<NA>,<NA>
Rooney,Dasher,10,173,27,36,<NA>,<NA>,<NA>
Safety Meeting,Dancer,0,12,2,6,<NA>,<NA>,<NA>
Sailer Moon,Blitzen,0,9,3,0,<NA>,<NA>,<NA>
Scat,Dasher,0,37,4,0,<NA>,<NA>,<NA>
Schlitz,Blitzen,10,280,29,47,<NA>,<NA>,<NA>
Scratch and Dent,Dasher,20,510,62,99,<NA>,<NA>,<NA>
Scuba Steve,Vixen,0,159,25,16,<NA>,<NA>,<NA>
Second Best,Comet,0,31,5,3,3,5,<NA>
Sensodyne,Prancer,10,50,9,10,<NA>,<NA>,<NA>
Shankapotomus,Comet,0,101,19,3,<NA>,<NA>,<NA>
Singer,Cupid,10,147,23,40,<NA>,<NA>,<NA>
Six Sheets,Comet,0,153,25,42,3,5,<NA>
Sizzler,Cupid,0,56,13,3,<NA>,<NA>,<NA>
SkidMark,Blitzen,0,63,14,21,<NA>,<NA>,<NA>
Slapshot,Rudolph,0,99,25,0,<NA>,<NA>,<NA>
Slinky,Prancer,0,18,3,3,3,0,<NA>
Sloppy Joe,Prancer,0,18,6,0,<NA>,<NA>,<NA>
SoccerMom,Vixen,0,32,8,0,3,5,<NA>
Soft Hands,Cupid,10,292,32,78,<NA>,<NA>,<NA>
Sparkler,Cupid,0,203,25,76,<NA>,<NA>,<NA>
Sparky,Dancer,20,370,31,96,<NA>,<NA>,<NA>
Spike Horn,Cupid,0,65,11,9,<NA>,<NA>,<NA>
Spirit,Cupid,0,11,2,0,<NA>,<NA>,<NA>
Spit Valve,Prancer,20,547,66,102,<NA>,<NA>,<NA>
Stitch,Vixen,0,28,8,4,3,5,0
Storm Chaser,Donner,0,299,41,50,<NA>,<NA>,<NA>
TPS Report,Vixen,0,25,3,13,3,0,<NA>
The Vault,Prancer,0,34,6,0,3,5,0
The Worm,Prancer,0,75,14,8,<NA>,<NA>,<NA>
Thesaurus,Dancer,0,82,15,0,<NA>,<NA>,<NA>
Tighty Whities,Comet,0,160,24,11,3,5,<NA>
Tinfoil,Prancer,10,136,25,30,3,5,<NA>
Toby,Comet,0,11,1,0,3,0,<NA>
Trickle,Donner,0,45,7,6,<NA>,<NA>,<NA>
Trifecta,Dasher,0,130,13,42,<NA>,<NA>,<NA>
Trojan,Dasher,0,22,4,0,3,0,<NA>
TruGreen,Dancer,0,124,7,0,<NA>,<NA>,<NA>
Tweety,Vixen,0,84,14,33,<NA>,<NA>,<NA>
UPS,Dasher,0,231,28,42,<NA>,<NA>,<NA>
Underdog,Rudolph,0,124,23,42,<NA>,<NA>,<NA>
Waffle House,Dancer,0,94,16,0,3,5,0
Wet Bandit,Prancer,0,15,3,3,<NA>,<NA>,<NA>
Wing Stop (F3 Naperville),Comet,0,131,22,15,<NA>,<NA>,<NA>
Woody,Blitzen,0,22,5,2,<NA>,<NA>,<NA>
Xena- Warrior Princess,Blitzen,0,114,15,0,<NA>,<NA>,<NA>
YellowPages,Prancer,10,278,36,26,<NA>,<NA>,<NA>
Zimmer,Dasher,10,274,31,45,<NA>,<NA>,<NA>
fuzzy navel,Donner,20,232,15,30,<NA>,<NA>,<NA>
pep boys,Comet,0,3,1,0,3,0,<NA>
vern,Vixen,0,129,24,28,<NA>,<NA>,<NA>
