user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,97,22,11,<NA>,<NA>,<NA>
Algorithm,Comet,10,149,20,20,<NA>,<NA>,<NA>
And1,Dancer,0,8,0,0,<NA>,<NA>,<NA>
BABYMOMMA,Dasher,10,203,23,42,<NA>,<NA>,<NA>
BORG,Dasher,0,32,8,3,3,5,0
Backstreet,Rudolph,0,44,9,6,<NA>,<NA>,<NA>
Bambino,Comet,0,47,6,3,3,5,<NA>
Bedpan,Donner,10,235,26,39,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,217,26,27,<NA>,<NA>,<NA>
Bob Villa,Comet,10,322,41,66,<NA>,<NA>,<NA>
BoilerUp,Rudolph,10,36,5,8,<NA>,<NA>,<NA>
Boomer,Prancer,20,320,33,59,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,17,3,3,<NA>,<NA>,<NA>
Broomstick,Vixen,10,139,16,46,<NA>,<NA>,<NA>
Bunker,Cupid,0,97,13,32,<NA>,<NA>,<NA>
Caboose,Cupid,0,112,16,0,<NA>,<NA>,<NA>
Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,156,26,6,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,98,16,5,<NA>,<NA>,<NA>
Chernobyl,Cupid,0,12,2,3,3,0,0
Choco Taco,Comet,10,131,10,39,3,5,<NA>
Chum Bucket,Donner,20,296,30,46,<NA>,<NA>,<NA>
Cinderella,Dancer,20,231,26,41,<NA>,<NA>,<NA>
Circuit City,Prancer,0,26,7,2,3,5,0
Corner Kick,Donner,0,113,15,25,<NA>,<NA>,<NA>
Cowbell,Rudolph,0,50,10,0,<NA>,<NA>,<NA>
Crotch Rocket,Dancer,10,16,2,0,3,0,0
Cutler,Dancer,20,282,30,73,<NA>,<NA>,<NA>
DJ Sump Pump,Comet,10,190,32,10,<NA>,<NA>,<NA>
Dan-D-LION,Rudolph,0,6,2,0,3,0,<NA>
Danica,Comet,0,97,19,0,3,5,<NA>
Dauber,Comet,20,457,60,75,<NA>,<NA>,<NA>
Dear Abby,Dancer,0,152,20,30,<NA>,<NA>,<NA>
Deliverance,Prancer,0,81,16,0,<NA>,<NA>,<NA>
Den Mother,Vixen,0,66,10,3,<NA>,<NA>,<NA>
Depends (3rdF Q),Prancer,20,335,37,67,<NA>,<NA>,<NA>
Derailed,Blitzen,0,77,10,31,<NA>,<NA>,<NA>
Dilbert,Prancer,0,237,23,57,<NA>,<NA>,<NA>
Dilly Dilly,Vixen,0,171,24,39,<NA>,<NA>,<NA>
Dog House,Dasher,20,443,61,72,<NA>,<NA>,<NA>
Doozie,Dasher,20,268,28,50,<NA>,<NA>,<NA>
