date,week,Team,user_name,ao,type,points,notes
2025-11-01,0,Comet,Dauber,3rd-f,3rdf,5,Food Pantry
2025-11-01,0,Comet,Dauber,rg_ec3,ec,3,"EC, noice!"
2025-11-01,0,Comet,Dauber,rg_3rdf_donation,Donation,3,"$$, way to be generous!"
2025-11-01,0,Comet,Dauber,ao-the-colosseum,1stf,3,ao-the-colosseum - Fall Convergence 2025
2025-11-01,0,Comet,Dauber,ao-the-colosseum,1stf,3,ao-the-colosseum - Spit Valves Bootcamp
2025-11-01,0,Comet,Dauber,2nd-f,2ndf,5,Post convergence Food and Fellowship
2025-11-02,1,Comet,Dauber,rg_hardshit,hardsh!t,10,I'll bet you're tired now!
2025-11-02,1,Comet,Dauber,2nd-f,2ndf,5,Bears and Pizza
2025-11-02,1,Comet,Dauber,2nd-f,2ndf,0,2nd F already achieved this week
2025-11-03,1,Comet,Dauber,downrange,1stf,3,downrange - The Snowbirds Arrive
2025-11-03,1,Comet,Dauber,ao-the-colosseum,1stf,3,ao-the-colosseum - Mahome’s Miles
2025-11-03,1,Comet,Dauber,rg_ec3,ec,3,"EC, noice!"
2025-11-04,1,Comet,Dauber,rg_popup,popup,3,YAY! You did the popup!
2025-11-04,1,Comet,Dauber,rg_ec3,ec,3,"EC, noice!"
2025-11-04,1,Comet,Dauber,ao-the-colosseum,1stf,3,ao-the-colosseum - Bunker’s Beatdown
2025-11-04,1,Comet,Dauber,ao-el-coyote,1stf,3,ao-el-coyote - The games have begun
2025-11-05,1,Comet,Dauber,rg_ec3,ec,3,"EC, noice!"
2025-11-05,1,Comet,Dauber,ao-the-silo,1stf,3,ao-the-silo - Nemo’s 4 Station Beat Down
2025-11-05,1,Comet,Dauber,,sixpack bonus,4,"('downrange', 'ao-the-colosseum', 'ao-the-colosseum', 'ao-el-coyote', 'ao-the-silo', 'downrange')"
2025-11-05,1,Comet,Dauber,downrange,1stf,3,downrange - Dora with Finch
2025-11-06,1,Comet,Dauber,,sixpack bonus,1,"('downrange', 'ao-the-colosseum', 'ao-the-colosseum', 'ao-el-coyote', 'ao-the-silo', 'downrange', 'downrange')"
2025-11-06,1,Comet,Dauber,downrange,1stf,3,downrange - EEBC The Wood
2025-11-06,1,Comet,Dauber,3rd-f-qsource,QSource Q,1,QSQ
2025-11-06,1,Comet,Dauber,3rd-f-qsource,qs,5,QS
2025-11-06,1,Comet,Dauber,,sixpack bonus,1,"('downrange', 'ao-the-colosseum', 'ao-the-colosseum', 'ao-el-coyote', 'ao-the-silo', 'downrange', 'downrange', 'ao-the-olympiad')"
2025-11-06,1,Comet,Dauber,ao-the-olympiad,1stf,3,ao-the-olympiad - Bob Villa’s RDG Bootcamp
2025-11-06,1,Comet,Dauber,rg_ec3,ec,3,"EC, noice!"
2025-11-06,1,Comet,Dauber,,sixpack bonus,1,"('downrange', 'ao-the-colosseum', 'ao-the-colosseum', 'ao-el-coyote', 'ao-the-silo', 'downrange', 'downrange', 'ao-the-olympiad', 'ao-el-coyote')"
2025-11-06,1,Comet,Dauber,ao-el-coyote,1stf,3,ao-el-coyote - Spit Valve ruck/run pt
2025-11-07,1,Comet,Dauber,rg_ec3,ec,3,"EC, noice!"
2025-11-07,1,Comet,Dauber,,sixpack bonus,1,"('downrange', 'ao-the-colosseum', 'ao-the-colosseum', 'ao-el-coyote', 'ao-the-silo', 'downrange', 'downrange', 'ao-the-olympiad', 'ao-el-coyote', 'downrange')"
2025-11-07,1,Comet,Dauber,downrange,1stf,3,downrange - Late start @ The Complex
