user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,94,21,11,<NA>,<NA>,<NA>
Algorithm,Comet,10,149,20,20,<NA>,<NA>,<NA>
And1,Dancer,0,8,0,0,<NA>,<NA>,<NA>
BABYMOMMA,Dasher,10,203,23,42,<NA>,<NA>,<NA>
BORG,Dasher,0,32,8,3,3,5,0
Backstreet,Rudolph,0,44,9,6,<NA>,<NA>,<NA>
Bambino,Comet,0,47,6,3,3,5,<NA>
Bedpan,Donner,10,230,25,37,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,217,26,27,<NA>,<NA>,<NA>
Bob Villa,Comet,10,319,41,66,<NA>,<NA>,<NA>
BoilerUp,Rudolph,10,33,4,8,<NA>,<NA>,<NA>
Boomer,Prancer,20,317,33,59,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,17,3,3,<NA>,<NA>,<NA>
Broomstick,Vixen,10,139,16,46,<NA>,<NA>,<NA>
Bunker,Cupid,0,97,13,32,<NA>,<NA>,<NA>
Caboose,Cupid,0,112,16,0,<NA>,<NA>,<NA>
Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,153,25,6,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,98,16,5,<NA>,<NA>,<NA>
Chernobyl,Cupid,0,12,2,3,3,0,0
Choco Taco,Comet,10,125,9,36,3,5,<NA>
Chum Bucket,Donner,20,291,29,44,<NA>,<NA>,<NA>
Cinderella,Dancer,20,228,25,41,<NA>,<NA>,<NA>
Circuit City,Prancer,0,26,7,2,3,5,0
Corner Kick,Donner,0,105,14,23,<NA>,<NA>,<NA>
Cowbell,Rudolph,0,50,10,0,<NA>,<NA>,<NA>
Crotch Rocket,Dancer,10,16,2,0,3,0,0
Cutler,Dancer,20,276,29,70,<NA>,<NA>,<NA>
DJ Sump Pump,Comet,10,184,30,10,<NA>,<NA>,<NA>
Dan-D-LION,Rudolph,0,6,2,0,3,0,<NA>
Danica,Comet,0,94,18,0,3,5,<NA>
Dauber,Comet,20,448,58,75,<NA>,<NA>,<NA>
Dear Abby,Dancer,0,146,19,27,<NA>,<NA>,<NA>
Deliverance,Prancer,0,78,15,0,<NA>,<NA>,<NA>
Den Mother,Vixen,0,66,10,3,<NA>,<NA>,<NA>
Depends (3rdF Q),Prancer,20,329,36,64,<NA>,<NA>,<NA>
Derailed,Blitzen,0,74,9,31,<NA>,<NA>,<NA>
Dilbert,Prancer,0,228,22,54,<NA>,<NA>,<NA>
Dilly Dilly,Vixen,0,171,24,39,<NA>,<NA>,<NA>
Dog House,Dasher,20,437,59,72,<NA>,<NA>,<NA>
Doozie,Dasher,20,265,28,50,<NA>,<NA>,<NA>
Double dipper,Cupid,0,14,2,0,3,0,0
Dr. Loco,Rudolph,0,6,2,0,3,0,0
Drive By,Dasher,0,48,7,3,<NA>,<NA>,<NA>
Duck Hunt,Cupid,10,221,28,57,<NA>,<NA>,<NA>
Dungeon Master,Prancer,0,3,1,0,3,0,0
Eleanor,Dancer,0,19,2,0,3,0,0
Ferkus,Prancer,0,5,0,0,<NA>,<NA>,<NA>
Fire Hose,Comet,0,33,5,0,3,5,<NA>
Fish Tape,Vixen,0,44,13,0,<NA>,<NA>,<NA>
Flo,Prancer,0,69,12,25,<NA>,<NA>,<NA>
Foghorn,Dancer,20,239,25,45,<NA>,<NA>,<NA>
Folgers,Rudolph,10,74,8,20,<NA>,<NA>,<NA>
Foreclosure,Rudolph,20,201,20,54,<NA>,<NA>,<NA>
Foundation,Blitzen,0,36,4,6,<NA>,<NA>,<NA>
Four Square,Dancer,0,3,0,3,<NA>,<NA>,<NA>
Frontier,Comet,20,132,10,27,<NA>,<NA>,<NA>
Ginga,Vixen,0,29,8,0,<NA>,<NA>,<NA>
Glass Slipper,Prancer,0,14,3,0,3,0,0
Go Daddy,Vixen,0,14,2,0,3,0,<NA>
Gopher,Blitzen,10,35,4,3,<NA>,<NA>,<NA>
Great Clips,Cupid,0,11,1,0,<NA>,<NA>,<NA>
Grinch,Dasher,0,3,0,0,<NA>,<NA>,<NA>
Griner,Comet,0,5,0,0,<NA>,<NA>,<NA>
GrubX (CMW),Cupid,10,73,15,6,<NA>,<NA>,<NA>
Grunts,Rudolph,0,17,3,6,3,0,0
HGTV,Donner,0,12,3,0,<NA>,<NA>,<NA>
Hackman,Vixen,0,34,8,2,<NA>,<NA>,<NA>
HandsOn,Dancer,0,18,5,0,3,5,0
Hanger,Donner,10,160,20,39,<NA>,<NA>,<NA>
Hank Hill,Prancer,10,382,46,72,<NA>,<NA>,<NA>
Happy Camper,Comet,20,266,26,44,<NA>,<NA>,<NA>
Hat Trick,Vixen,0,92,14,21,<NA>,<NA>,<NA>
Hatchet (Lizard Q),Comet,0,108,14,18,<NA>,<NA>,<NA>
Heifer,Comet,0,37,7,0,3,5,<NA>
Hodl,Dancer,20,361,40,70,<NA>,<NA>,<NA>
Homer Simpson,Rudolph,0,54,7,6,<NA>,<NA>,<NA>
Hot Boxx,Prancer,0,11,1,0,<NA>,<NA>,<NA>
Hot Lava,Comet,10,384,47,75,<NA>,<NA>,<NA>
Hot Pants,Comet,0,9,2,0,3,0,0
Hydrant,Vixen,0,7,1,1,<NA>,<NA>,<NA>
Italian Ice,Rudolph,0,79,19,3,<NA>,<NA>,<NA>
Jellystone,Dasher,20,173,17,39,<NA>,<NA>,<NA>
John Denver,Donner,10,94,13,31,<NA>,<NA>,<NA>
Juanita,Donner,20,207,24,45,<NA>,<NA>,<NA>
Jugz,Comet,0,15,2,3,3,0,0
Just Dance,Blitzen,10,99,12,33,<NA>,<NA>,<NA>
Kidney Beans,Blitzen,0,62,12,21,<NA>,<NA>,<NA>
Kindle,Vixen,0,9,2,3,3,0,0
LaRussa,Dasher,0,33,4,6,<NA>,<NA>,<NA>
Laces Out,Cupid,0,23,6,0,<NA>,<NA>,<NA>
Large Marge,Donner,0,9,2,0,<NA>,<NA>,<NA>
Liberty Biberty,Prancer,0,94,15,23,<NA>,<NA>,<NA>
Lot lizard,Cupid,0,23,3,6,<NA>,<NA>,<NA>
Mahomes,Comet,20,382,44,69,<NA>,<NA>,<NA>
Manhole,Comet,20,395,48,75,<NA>,<NA>,<NA>
Mapquest,Rudolph,0,24,8,0,<NA>,<NA>,<NA>
Martha Stewart,Dancer,10,34,7,3,3,5,0
Meta,Comet,20,417,54,69,<NA>,<NA>,<NA>
Moist,Donner,0,90,15,32,<NA>,<NA>,<NA>
Morticia,Blitzen,0,94,18,15,<NA>,<NA>,<NA>
Mr. Belding,Donner,0,91,14,31,<NA>,<NA>,<NA>
Mr. Kotter,Donner,10,151,23,24,<NA>,<NA>,<NA>
Napster,Rudolph,10,173,22,27,<NA>,<NA>,<NA>
Nemo,Prancer,20,249,26,58,<NA>,<NA>,<NA>
Nickelback,Rudolph,0,39,6,0,<NA>,<NA>,<NA>
Norm,Dasher,20,213,25,48,<NA>,<NA>,<NA>
Old Maid,Dasher,0,147,19,12,<NA>,<NA>,<NA>
Olive Oyl,Dasher,0,98,11,6,<NA>,<NA>,<NA>
Ollie,Vixen,0,8,1,0,<NA>,<NA>,<NA>
Otto Man,Cupid,0,15,5,0,<NA>,<NA>,<NA>
Ozark,Dancer,0,19,3,2,<NA>,<NA>,<NA>
PFG,Prancer,10,116,21,12,<NA>,<NA>,<NA>
Party in a bottle,Dancer,10,122,17,9,<NA>,<NA>,<NA>
Pearl,Comet,10,183,20,30,<NA>,<NA>,<NA>
Peashooter,Donner,0,61,10,18,<NA>,<NA>,<NA>
Pee Wee Herman,Blitzen,0,92,21,8,<NA>,<NA>,<NA>
Peterbilt,Comet,0,273,44,8,<NA>,<NA>,<NA>
Phoenix,Dancer,0,199,30,9,<NA>,<NA>,<NA>
Picasso,Cupid,0,111,16,45,<NA>,<NA>,<NA>
Pit Boss,Donner,0,42,8,10,3,5,0
Pop-Tart,Dancer,0,205,27,20,<NA>,<NA>,<NA>
Pull-up,Comet,20,248,22,56,<NA>,<NA>,<NA>
Quatro,Vixen,0,70,13,5,<NA>,<NA>,<NA>
Rabbit,Rudolph,0,12,4,0,3,0,0
Ricochet,Dancer,0,253,33,75,<NA>,<NA>,<NA>
Ricola,Rudolph,20,264,30,51,<NA>,<NA>,<NA>
Ringo,Rudolph,20,206,23,19,<NA>,<NA>,<NA>
Rooney,Dasher,10,140,19,36,<NA>,<NA>,<NA>
