date,week,ao_id,q_user_id,user_id,ao,points,type,user_name,Team,FNGflag
2025-07-12,0,C02B4U0M71N,U03SX99V3PU,U016890PYHM,ao-the-ridge,3.0,1stf,Bedpan,Olive,0.0
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U06GZ8ECZC5,ao-da-grizz,3.0,1stf,Boomer,Rudolph,0.0
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U06J46ZTPEZ,ao-da-grizz,3.0,1stf,Folgers,Olive,0.0
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U07UKT9J213,ao-da-grizz,3.0,1stf,Large Marge,Dasher,0.0
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U081JKWAR33,ao-da-grizz,3.0,1stf,Sailer Moon,Prancer,0.0
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U08TD9DD6M6,ao-da-grizz,3.0,1stf,Scuba Steve,Rudolph,0.0
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U08U4PQV3DJ,ao-da-grizz,3.0,1stf,Phoenix,Vixen,0.0
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U0950RW8JHX,ao-da-grizz,3.0,1stf,Eliot Ness,Unknown Team,
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U041R4GK79V,ao-da-grizz,3.0,1stf,fuzzy navel,Dancer,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U016V6KHM36,ao-the-colosseum,3.0,1stf,Dilly Dilly,Prancer,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U017QPPJVJ5,ao-the-colosseum,3.0,1stf,Bob Villa,Comet,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U03DP9WRXJN,ao-the-colosseum,3.0,1stf,Backstreet,Rudolph,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U05LL7ESE79,ao-the-colosseum,3.0,1stf,Cutler,Vixen,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U06GZ8ECZC5,ao-the-colosseum,3.0,1stf,Boomer,Rudolph,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U06K8PKQGA1,ao-the-colosseum,3.0,1stf,Duck Hunt,Dasher,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U071GSVM24B,ao-the-colosseum,3.0,1stf,Spit Valve,Blitzen,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U0950RW8JHX,ao-the-colosseum,3.0,1stf,Eliot Ness,Unknown Team,
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U017DA73JQY,ao-the-colosseum,3.0,1stf,TPS Report,Donner,0.0
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U03T43SBJNA,ao-da-grizz,3.0,1stf,Homer Simpson,Dancer,0.0
2025-07-12,0,C02AC8PS1T7,U06GZ8ECZC5,U01RSG6FSNA,ao-the-colosseum,3.0,1stf,Slinky,Unknown Team,
2025-07-12,0,C0329PXMA6T,U041R4GK79V,U03EPDEKY4U,ao-da-grizz,3.0,1stf,Schlitz,Prancer,0.0
